doc_id,source_type,title,content_preview
dsid_e54ef48bae78474684a957cf613d47d5,confluence,Runbook: Deploy / Upgrade / Roll Back perf-canary (Prod),"## Purpose This runbook describes the operational procedures to deploy, upgrade, roll back, and safely disable the **perf-canary** service across regions.  perf-canary is a lightweight, always-on synthetic workload that calls internal inference endpoints for a curated model set and emits performance metrics (p50/p95/p99, tokens/sec, prefill/decode, queueing time, batch stats). The service must stay under the defined overhead budget and must not capture or emit customer data.  **Primary users:** Eng-Infra on-call and Release Engineering during rollouts.  ---  ## Quick reference **Service name:** perf-canary  **Deployment mechanism:** - Terraform: service account / IAM / secrets / region wiring - Helm: workload deployment and per-region config  **Primary dashboards:** - Grafana: ""Perf Canary – Per Model"" (p95, tokens/sec, breakdowns) - Capacity/overhead: GPU utilization + canary QPS counters  **Kill switch:** control-plane config (disable flag) + Helm scale-to-zero (last resort)  **Slack channels:** - #eng-runtime (warnings / runtime attribution) - #eng-oncall (paging / incident coordination) - #eng-releases (rollout sequencing)  **Owners:** - Infra/rollout coordination: Vanessa Orti"
dsid_229dd48e9b1d466a81ebaffe3ec84469,confluence,Cross-account GPU burst SLO contract and CI lifecycle,"Summary  Overview: This document defines the operational contract (SLOs, quotas, billing guardrails) and the CI/CD lifecycle for the cross-account GPU burst fabric. It is intended for platform engineers, tenant owners, and on-call responders who coordinate cross-account bursting between Redwood-managed GPU pools and partner or tenant cloud accounts.  Goals and scope: - Define a minimal, enforceable SLO contract that tenant teams and platform teams can rely on during bursts. - Specify Terraform/IaC module shape and CI/CD checks required for enrolling an account in cross-account bursting. - Provide an operator runbook for common failure modes (burst denied, egress exhaustion, billing disputes). - Describe test, canary, and rollback requirements for rollouts that change allocation or billing behavior.  Key definitions: - Burst: short-lived use of extra GPU capacity in another account or region to satisfy a spike. Typically preemptible/spot/borrowed nodes. - Borrower: tenant account consuming burst capacity. - Lender: Redwood-managed account providing burst capacity. - SLO contract: set of measurable targets (latency, success rate, cost cap) enforced by telemetry + circuit breakers.  S"
dsid_aeb0022d62bc43beb6549ba92e5655eb,confluence,Third-Party & Vendor Coordination Playbook for Enterprise Onboarding,"Overview  Purpose: This playbook documents the recommended coordination model, validation checks, and runbook steps for engaging third-party vendors and external suppliers during an enterprise customer onboarding at Redwood Inference. It covers technical handoffs (SSO, SCIM, KMS), network coupling (VPC peering / firewall rules), telemetry & cost contracts, compliance artifacts, and cross-team escalation flows.  Audience: - Customer Success Managers (CSMs) - Solutions Engineers and Onboarding Engineers - Security & Compliance reviewers - SRE/Platform contacts - Third-party vendor leads and integrators  Scope and Assumptions: - Applies to Dedicated and Private deployments where external parties require access or service integration. - Assumes an executed contract that approves vendor access scope and data classification. - Does not replace vendor security questionnaires or legal NDAs; those must be completed pre-engagement.  Key SLA / Acceptance Criteria (customer-facing): - End-to-end onboarding runway target: 6–8 weeks for standard integrations. - Security gate acceptance: all required artifacts provided and verified within 10 business days of evidence request. - Telemetry complete"
dsid_926174fc4900408c89c98abde46b7225,confluence,First Production Launch Checklist (Canonical Template),"## Purpose This page defines the **canonical step catalog** for the “Guided onboarding + First Production Launch” checklist.  This template is the **single source of truth** for: - Step IDs (stable identifiers used by Console + progress service + telemetry) - Step ordering, dependencies, and completion criteria - Deep links in the Redwood Console - Canonical docs + quickstart/example links (with language parity expectations)  This template is used in: - **Redwood Console** checklist UI - **Docs** (mirrors the same steps and order) - **Support playbooks** (triage by step state)  ---  ## Template versioning and change control **Template version:** 1.0  **Rules** 1. **Step IDs are immutable.** Do not reuse an ID for a different meaning. 2. Any change that affects completion logic (criteria or event mapping) requires review from:    - DevEx (Docs/Quickstarts): Wei Chen / Elliot Price    - Console PM/Eng: Marissa Cole / Dylan Brooks    - Telemetry: Logan Wright    - Support enablement: Dev Patel 3. Backward compatibility: existing tenants’ progress must not regress due to template edits.  **Update cadence** - Minor copy/link changes: anytime (no code changes required). - Criteria/event "
dsid_d511c6d8daf94f998ce6a3d97462af2d,confluence,Go-Live Runway and Week-3 Stability Playbook,"Overview  This playbook defines the technical and operational runways for an enterprise customer go-live and the stabilization activities leading up to the end of week three post-cutover. It is intended for Customer Success Engineers (CSEs), Solutions Engineering, SRE, and the customer's technical stakeholders. The goal is to ensure predictable availability, cost controls, and measurable quality during the high-risk window immediately after go-live.  Scope  - Applies to Dedicated and Private deployment modes and hosted customers with enterprise SLAs. - Covers pre-go-live readiness, day-of execution, and week-1 through week-3 stabilization. - Excludes long-term feature rollouts (see related roadmap/feature-release pages).  Quick summary of ownership  - CSE (Primary runbook owner): coordinates customer comms, activation gating, and weekly status. - SRE: infra monitoring, incident response, capacity adjustments. - Solutions Engineering: test harness, integration verification, and debug. - Customer Engineering Lead: on-site or designated technical contact for approvals.  Pre-Go-Live (T minus 14 to T minus 1 days) — readiness gate checklist  1) Technical validation (owners: SolutionsEng"
dsid_321c06b3ec09434887168fcfdd458b26,confluence,Federated Enterprise Onboarding Playbook,"Title: Federated Enterprise Onboarding Playbook  Overview: This playbook outlines the recommended onboarding process for enterprise customers adopting Redwood Inference in federated deployment modes (Dedicated and Private). It covers pre-sales handoff, technical intake, network and security gating, initial runbook and health checks, first 90‑day success metrics, escalation paths, and QBR-ready artifacts. The intention is to standardize onboarding for customers who require private control plane, VPC peering, or on‑prem packaging while preserving predictable SLAs and operational readiness.  Goals: - Establish production-ready deployment within 4–8 weeks for standard enterprise patterns. - Verify SLO alignment: 99.9% availability for control plane; 95th‑pct latency SLOs documented per workload. - Ensure secure connectivity, auditing, and access controls before traffic cutover. - Provide documented runbooks and monitoring for customer-run teams and Redwood support.  Audience: - Customer Success Manager (CSM) - Solutions Engineer (SE) / Solutions Architect (SA) - Customer platform / SRE contacts - Redwood Onboarding Engineers and Support  Pre-Onboarding Checklist (to complete before kic"
dsid_a67150ff1ec94d0484d10954d223efae,confluence,Zero-Trust Private Deployment: Acceptance & Verification Playbook,"Summary:\nThis playbook defines the acceptance criteria and step-by-step verification procedures Customer Success uses to validate a Redwood Private deployment against our zero-trust baseline before the final go-live handoff. It is intended for use by Customer Success, Solutions Engineering, Security Eng, and the Customer's SRE team during pre-production and production cutover.\n\nGoals:\n- Ensure network, auth, and cryptographic controls meet Redwood and customer policy.\n- Produce a reproducible evidence bundle that can be attached to the go/no-go decision.\n- Establish operational checks and automated probes for day-2 validation.\n\nWho should use this doc:\n- Customer Success Onboarding Lead (primary)\n- Solutions Engineer (technical lead)\n- Customer SRE / Security contact\n- Redwood Private Eng on-call (for triage)\n\nAcceptance Criteria (high level):\n1) Mutual TLS enforced for all inbound control-plane connections and node-to-node traffic.\n2) All persistent secrets are stored in the customer-managed KMS/HSM and never in plaintext on hosts.\n3) Workloads run with least privilege: no default admin containers, restricted service accounts.\n4) Network policy enforces deny-by-d"
dsid_bddcc76fec5b4be3ae1c224904ae5786,confluence,Customer Success: Game Day Simulation Playbook for Enterprise Onboarding,"Summary: This playbook defines a repeatable, measurable game-day simulation designed to validate enterprise onboarding readiness for Redwood Inference customers. The exercise exercises critical success paths (go‑live, degraded throughput, model failover, networking incidents, and billing/quotas) and verifies cross-functional coordination between Customer Success, Support, SRE, and Engineering.  Goals: - Verify end-to-end customer go-live checklist can be executed under stress. - Validate monitoring & alerting triggers, escalation paths, and on-call handoffs. - Surface integration edge cases (VPC networking, KMS access, streaming webhooks). - Measure response time to simulated incidents and close the loop with concrete action items. - Create repeatable artifacts: post‑game report, RCA action items, and knowledge base updates.  Audience and Scope: - Primary audience: Customer Success Managers (CSM), Support Engineers, SRE oncall, Solutions Engineers, and customer's technical contacts. - Scope: Enterprise Dedicated and Private deployments. Hosted API smoke tests included when relevant. - Out of scope: Model training jobs, billing disputes unrelated to onboarding config.  Prerequisites"
dsid_7e5d4cb344b44fe58a561b3759db09e6,confluence,Enterprise Stabilization: Technical Sweep & SLA Readiness Checklist,"Summary: This playbook describes a coordinated technical sweep and SLA readiness checklist for enterprise go-lives during the first 14 days after cutover. It is designed for Customer Success Engineers (CSEs), Platform SRE, Product Ops, and the customer's technical leads to validate production readiness, confirm SLO alignment, and establish a backstop for fast mitigation of any regression in availability, latency, or cost.  Intended audience: - Customer Success (primary) - Eng SRE and Platform teams - Onboarding Solutions Engineers - Customer technical contacts and architecture owners  Goals: - Verify telemetry, alerting, and dashboards are accurately reflecting tenant traffic within 48 hours of cutover. - Confirm SLA eligibility and billing flags are correct prior to first billing cycle. - Execute lightweight smoke and regression checks for core flows (generation, embeddings, streaming) at production scale for the customer traffic profile. - Establish a documented mitigation and rollback path if SLOs are breached.  When to run this playbook: 1) Immediately after tenant cutover in staging -> production (day 0) for an initial smoke sweep. 2) Full technical sweep during day 1–3 to val"
dsid_1c3eb378f21447c8aa436b616ab70439,confluence,Enterprise Deployment Compliance Evidence Playbook and E2E Signoff,"Overview:\n\nThis playbook documents the end-to-end (E2E) evidence collection, verification, and signoff process required for enterprise deployments and compliance-driven cutovers. It is intended for Customer Success, Solutions Engineering, Platform Operations, and the customer's compliance or security stakeholders. Use this playbook to produce a reproducible audit trail for regulatory review, internal compliance checks, and third-party audits.\n\nScope:\n- Applies to Dedicated and Private (VPC / on-prem) deployments where documented evidence is required prior to go-live.\n- Covers technical evidence (telemetry, access logs, configuration snapshots), organizational signoffs, and the post-cutover audit window.\n- Does NOT replace security penetration tests or SOC/ISO certification artifacts; it aggregates the project-specific evidence package for release.\n\nOwner and roles:\n- Playbook owner: Customer Success (Riley Chen)\n- Primary technical owner: Platform Operations (on-call platform lead)\n- Security reviewer: Security & Compliance (security reviewer assigned per-customer)\n- Customer liaison: Solutions Engineering / Customer Technical Lead\n- Audit contact: Legal / Compliance "
dsid_ed34477fce6b43d0987c367eafcc4a6a,confluence,Tenant Onboarding: Acceptance Testing & Telemetry Assertions,"summary: A structured acceptance-testing playbook to validate tenant readiness after provisioning and before hand-back. Defines telemetry assertions, synthetic scenarios, and safe rollback/fallback steps tailored to Dedicated and Private tenants.  body: Purpose  This playbook provides a repeatable acceptance-testing and telemetry-assertion checklist for enterprise tenant cutovers (Dedicated and Private modes). Its goal is to ensure customers meet their SLOs and observability expectations before the CX hand-off.  Scope and audience  - Audience: Customer Success Engineers (CSE), Solutions Engineers, Oncall SREs, and Platform Engineers executing go-live validation. - Scope: Post-provisioning validation window (first 72 hours), focused on latency, error rates, throughput, billing signals, and data-plane connectivity. Not intended for long-term performance tuning.  Prerequisites  1. Tenant is provisioned and accessible; operator has admin token and tenant ID. 2. Telemetry forwarding (metrics/traces/logs) enabled to central telemetry workspace or customer-managed forwarder. 3. Canary API key created and injected into test harness.  Quick checklist (high level)  - [ ] DNS / network reacha"
dsid_0f34f8c7a11548c39e32c51e2c2f8118,confluence,Dependency Failure Resilience Playbook (Enterprise Onboarding),"Purpose  This playbook documents a standardized approach for identifying, preventing, and remediating failures caused by third-party or internal dependency outages during enterprise onboarding and early go-live. It focuses on the technical mitigations, telemetry assertions, and communication patterns Customer Success (CS), SRE, and Platform teams should follow when dependencies degrade or fail.  Scope  - Applies to enterprise onboarding windows, canary rollouts, and first-72-hour post-go-live stability runs. - Covers external partners (cloud provider APIs, SCM, identity providers, SaaS connectors) and internal services we rely on (ingress-gateway, fanout-proxy, telemetry-gatekeeper, embedding-indexer, kvcache, model-router). - Does NOT cover purely customer-side outages (e.g., customer DB down) except where we coordinate cutover.  Owners and RACI  - Primary owner: Customer Success (Onboarding) — Ava Chen - Technical owner (SRE escalation): Eng SRE — Diego Morales - Platform mitigations and config changes: Eng Platform — Priya Natarajan - Observability contract owner: Eng DevEx — Samir Gupta  RACI summary: 1) Detection: Eng SRE (R), Eng DevEx (C), CS (I) 2) Triage/Customer comms: CS"
dsid_9ebf6344727b4a308818ceb9430a38a3,confluence,"Enterprise bulk data ingest, backfill, and live cutover playbook","Summary: This playbook provides a prescriptive, low-risk process for performing large-scale data ingest and backfill work for enterprise customers, followed by the live cutover to Redwood inference pipelines (hosted, dedicated, or private). It codifies roles, pre-cutover validation, dry-run and backfill strategies, SRE guardrails, escalation paths, rollback criteria, and post-cutover checks.  Scope: - Target audience: Customer Success (CS), Solutions Engineering (SE), Customer SRE, Redwood Platform Ops, and customer engineering teams. - Applies to: bulk ingestion of telemetry, prompt sets, embedding indices, or any dataset used by inference features where size or throughput requires coordinated cutover. - Out of scope: routine small-scale batch imports (<100k records) — use standard integration guide.  Goals and success criteria: - Cutover completes with <1% data loss and no more than 5 minutes of degraded inference latency compared to baseline. - Backfill throughput sustained to complete within agreed SLA (example: 48 hours for 100M rows). - No customer-visible errors beyond planned degradation windows; all incidents resolved or rolled back per runbook.  Roles & ownership: - Custo"
dsid_0b86b9fe24944075887a8d698c93cadd,confluence,"Model Migration & Cutover Governance: telemetry contracts, safety gates, and SLA carveouts","Summary: This playbook defines the governance, telemetry contracts, safety gates, and SLA carveouts for enterprise model migrations and cutovers. It is intended for Customer Success (CS), SRE, Product, and Security stakeholders who jointly own customer-facing model upgrades or tenant re-allocations (hosted, dedicated, or private).  Why this exists: - Model migrations change output fidelity, token cost, and performance characteristics. Customers expect minimal disruption and an auditable trail for decisions that affect SLA eligibility and service credits. - This document standardizes pre-cutover readiness checks, telemetry contracts, launch gates, and a clear escalation matrix to reduce surprise rollbacks and disputes.  Scope: - Applies to: enterprise tenant cutovers, major model version rollouts (e.g., gen-1 -> gen-2), quantization or architecture changes that affect response semantics, and high-risk routing changes (regional failover). - Excludes: routine minor model config tweaks that are covered by auto-canary thresholds (see auto-canary spec).  Owners and roles: - CS Owner: Aisha Patel — customer comms and consent - Cutover Lead (SRE): Miguel Fernandez — orchestration, telemetr"
dsid_7a9d6810cee2497f93113afa7feb0076,confluence,Enterprise Onboarding — Post-Provisioning Stability & Fallback Checklist,"Overview This playbook defines the post-provisioning stability and fallback verification steps we run for enterprise customers after Dedicated or Private (VPC / on-prem) environments are provisioned and before handing back to Product/Engineering for live traffic. The goal is to validate functional correctness, confirm SLOs and capacity assumptions, exercise fallback and routing policies, and confirm monitoring/alerting is wired end-to-end. This document is intended for Customer Success Engineers (CSEs), Solutions Engineers, and the Redwood SRE/Platform teams.  Key objectives - Verify baseline latency and throughput for representative workloads. - Confirm automatic fallback paths and model variant switchover behave as expected. - Validate KV/prefix cache priming and persistence (where applicable). - Ensure observability: dashboards, tracing, and alerting triggerable and readable by customer ops. - Document owners, rollback criteria, and escalation steps.  When to run - Immediately after dedicated/private environment provisioning completes and the control plane shows ""provisioned"" state. - After canary deploys or model version upgrades prior to 100% traffic. - After network configura"
dsid_df72028180c84a33a5f2700427f03a73,confluence,"Cross-Regional Cutover, Telemetry Gates, and Cost-Gating Playbook for Enterprise Onboarding","Summary:\nThis playbook defines steps, telemetry gate criteria, and cost-gating policies for cross-regional enterprise tenant cutovers. It is intended for Customer Success engineers, Solutions Engineers, SRE on-call, and the customer’s cloud/networking contact. The goal is a safe, observable cross-region activation with automatic failback triggers and cost mitigation if unexpected billing or token-rate anomalies occur.\n\nScope and applicability:\n- Applies to enterprise customers migrating from single-region hosted or Dedicated deployments to multi-region (active-primary + passive-secondary) configurations during go-live windows.\n- Covers pre-cutover verification, telemetry gate definitions, automated gate enforcement, manual and automatic failback, cost gating thresholds, and post-cutover QBR metrics.\n- Does NOT replace tenant-specific security acceptance tests (see security gates playbook).\n\nRoles and ownership:\n- Customer Success (CS): runbook owner, coordinates stakeholders and business signoffs.\n- Solutions Engineering (SE): pre-cutover config and ingress verification.\n- Eng-SRE: on-call for capacity and traffic shaping; owns automated failback tooling.\n- Customer (ne"
